Index,Timestamp_US,RSSI,Smoothed_RSSI
897,66182659,-48,-48
898,66182759,-48,-48
899,66182859,-48,-48
900,66182959,-48,-48
901,66183059,-48,-48
902,66183159,-48,-48
903,66183259,-48,-48
904,66183359,-48,-48
905,66183459,-48,-48
906,66183559,-48,-48
907,66183659,-48,-48
908,66183759,-48,-48
909,66183859,-48,-48
910,66183959,-48,-48
911,66184059,-48,-48
912,66184159,-48,-48
913,66184259,-48,-48
914,66184359,-48,-48
915,66184459,-48,-48
916,66184559,-48,-48
917,66184659,-48,-48
918,66184759,-48,-48
919,66184859,-48,-48
920,66184959,-48,-48
921,66185059,-48,-48
922,66185159,-48,-48
923,66185259,-48,-48
924,66185359,-49,-48
925,66185459,-49,-48
926,66185559,-49,-48
927,66185659,-49,-48
928,66185759,-49,-48
929,66185859,-49,-48
930,66185959,-49,-48
931,66186059,-49,-48
932,66186159,-49,-48
933,66186259,-49,-48
934,66186359,-49,-48
935,66186459,-49,-48
936,66186559,-49,-48
937,66186659,-49,-48
938,66186759,-49,-48
939,66186859,-49,-48
940,66186959,-49,-48
941,66187059,-49,-48
942,66187159,-49,-48
943,66187259,-49,-49
944,66187359,-49,-49
945,66187459,-49,-49
946,66187559,-49,-49
947,66187659,-49,-49
948,66187759,-49,-49
949,66187859,-49,-49
950,66187959,-49,-49
951,66188059,-49,-49
952,66188159,-49,-49
953,66188259,-49,-49
954,66188359,-49,-49
955,66188459,-49,-49
956,66188559,-49,-49
957,66188659,-49,-49
958,66188759,-49,-49
959,66188859,-49,-49
960,66188959,-49,-49
961,66189059,-49,-49
962,66189159,-49,-49
963,66189259,-49,-49
964,66189359,-49,-49
965,66189459,-49,-49
966,66189559,-49,-49
967,66189659,-49,-49
968,66189759,-49,-49
969,66189859,-49,-49
970,66189959,-49,-49
971,66190059,-49,-49
972,66190159,-49,-49
973,66190259,-49,-49
974,66190359,-49,-49
975,66190459,-49,-49
976,66190559,-49,-49
977,66190659,-49,-49
978,66190759,-49,-49
979,66190859,-49,-49
980,66190959,-49,-49
981,66191059,-49,-49
982,66191159,-49,-49
983,66191259,-49,-49
984,66191359,-49,-49
985,66191459,-49,-49
986,66191559,-49,-49
